[2024-03-01, 09:00:00, 백엔드개발, 오늘 서버 배포 일정 공유합니다. 오후 2시에 v2.3 릴리스 예정입니다., 김민수]
[2024-03-01, 09:05:00, 백엔드개발, 배포 전에 DB 마이그레이션 먼저 돌려야 합니다. 스크립트 준비 완료했어요., 박지현]
[2024-03-01, 09:07:00, 백엔드개발, 네 확인했습니다. 스테이징에서 먼저 테스트하고 진행하겠습니다., 김민수]
[2024-03-01, 09:10:00, 백엔드개발, 참고로 이번 배포에 API 응답 캐시 로직도 포함되어 있습니다., 이서준]
[2024-03-01, 09:15:00, 백엔드개발, 캐시 TTL은 5분으로 설정했고 Redis 클러스터에 저장됩니다., 이서준]
[2024-03-01, 10:00:00, 프론트엔드, 대시보드 리디자인 작업 시작합니다. 피그마 시안 공유드릴게요., 최유나]
[2024-03-01, 10:05:00, 프론트엔드, 차트 라이브러리를 recharts에서 visx로 변경하는 건 어떨까요?, 한도윤]
[2024-03-01, 10:08:00, 프론트엔드, visx가 커스텀이 더 자유로운데 러닝커브가 있어요. 일단 POC 해보겠습니다., 최유나]
[2024-03-01, 14:00:00, 백엔드개발, 서버 배포 시작합니다. 현재 스테이징 테스트 통과 확인., 김민수]
[2024-03-01, 14:15:00, 백엔드개발, v2.3 프로덕션 배포 완료. 모니터링 중입니다., 김민수]
[2024-03-01, 14:20:00, 백엔드개발, 배포 후 API 응답 시간이 평균 120ms에서 85ms로 개선되었습니다., 이서준]
[2024-03-01, 14:25:00, 백엔드개발, 캐시 히트율이 72%로 나오고 있어요. 예상보다 좋습니다., 이서준]
[2024-03-01, 15:00:00, 인프라, 배포 관련해서 로드밸런서 설정 변경 필요합니다. PR 올렸어요., 정하늘]
[2024-03-01, 15:05:00, 인프라, PR #245 리뷰 부탁드립니다. nginx 설정 수정이에요., 정하늘]
[2024-03-02, 09:00:00, 백엔드개발, 어제 배포 후 모니터링 결과 공유합니다. 에러율 0.01% 이하로 안정적입니다., 김민수]
[2024-03-02, 09:10:00, 백엔드개발, 다만 특정 엔드포인트에서 간헐적으로 504 타임아웃이 발생하고 있어요., 박지현]
[2024-03-02, 09:15:00, 백엔드개발, 확인해보니 대용량 쿼리 시 DB 커넥션 풀 부족 문제입니다., 박지현]
[2024-03-02, 09:20:00, 백엔드개발, 커넥션 풀 사이즈를 20에서 50으로 늘리겠습니다. 핫픽스 나갈게요., 김민수]
[2024-03-02, 10:00:00, 프론트엔드, visx POC 결과 공유합니다. 커스텀 차트 구현이 훨씬 유연하네요., 최유나]
[2024-03-02, 10:05:00, 프론트엔드, 다만 번들 사이즈가 기존 대비 30% 증가합니다. 트리셰이킹 필요해요., 한도윤]
[2024-03-02, 11:00:00, 인프라, 쿠버네티스 클러스터 모니터링 대시보드 구축 완료했습니다., 정하늘]
[2024-03-02, 11:05:00, 인프라, Grafana + Prometheus 스택으로 구성했고 알림은 Slack으로 연동됩니다., 정하늘]
[2024-03-03, 09:00:00, 백엔드개발, 핫픽스 v2.3.1 배포 완료. 커넥션 풀 이슈 해결되었습니다., 김민수]
[2024-03-03, 09:05:00, 백엔드개발, 504 에러가 완전히 사라졌어요. 감사합니다., 박지현]
[2024-03-03, 10:00:00, 프론트엔드, 대시보드 v2 프로토타입 완성했습니다. 리뷰 부탁드립니다., 최유나]
[2024-03-03, 10:10:00, 프론트엔드, PR #248 올렸습니다. visx 기반 차트 컴포넌트 포함이에요., 최유나]
[2024-03-03, 14:00:00, 전체공지, 이번 주 금요일 전사 타운홀 미팅 있습니다. 참석 부탁드립니다., 김민수]
[2024-03-03, 14:05:00, 전체공지, 장소는 대회의실이고 오후 3시부터입니다., 김민수]
